True,Opponent Team Name,Game Date,Stadium Name,Location
0,New York Yankees,2016-04-04,Yankee Stadium,"New York, NY"
1,New York Yankees,2016-04-05,Yankee Stadium,"New York, NY"
2,New York Yankees,2016-04-06,Yankee Stadium,"New York, NY"
3,New York Yankees,2016-04-07,Yankee Stadium,"New York, NY"
4,Milwaukee Brewers,2016-04-08,Miller Park,"Milwaukee, WI"
5,Milwaukee Brewers,2016-04-09,Miller Park,"Milwaukee, WI"
6,Milwaukee Brewers,2016-04-10,Miller Park,"Milwaukee, WI"
7,Kansas City Royals,2016-04-11,Minute Maid Park,"Houston, TX"
8,Kansas City Royals,2016-04-12,Minute Maid Park,"Houston, TX"
9,Kansas City Royals,2016-04-13,Minute Maid Park,"Houston, TX"
10,Kansas City Royals,2016-04-14,Minute Maid Park,"Houston, TX"
11,Detroit Tigers,2016-04-15,Minute Maid Park,"Houston, TX"
12,Detroit Tigers,2016-04-16,Minute Maid Park,"Houston, TX"
13,Detroit Tigers,2016-04-17,Minute Maid Park,"Houston, TX"
14,Texas Rangers,2016-04-19,Globe Life Park in Arlington,"Arlington, TX"
15,Texas Rangers,2016-04-20,Globe Life Park in Arlington,"Arlington, TX"
16,Texas Rangers,2016-04-21,Globe Life Park in Arlington,"Arlington, TX"
17,Boston Red Sox,2016-04-22,Minute Maid Park,"Houston, TX"
18,Boston Red Sox,2016-04-23,Minute Maid Park,"Houston, TX"
19,Boston Red Sox,2016-04-24,Minute Maid Park,"Houston, TX"
20,Seattle Mariners,2016-04-25,Safeco Field,"Seattle, WA"
21,Seattle Mariners,2016-04-26,Safeco Field,"Seattle, WA"
22,Seattle Mariners,2016-04-27,Safeco Field,"Seattle, WA"
23,Oakland Athletics,2016-04-29,O.co Coliseum,"Oakland, CA"
24,Oakland Athletics,2016-04-30,O.co Coliseum,"Oakland, CA"
25,Oakland Athletics,2016-05-01,O.co Coliseum,"Oakland, CA"
26,Minnesota Twins,2016-05-02,Minute Maid Park,"Houston, TX"
27,Minnesota Twins,2016-05-03,Minute Maid Park,"Houston, TX"
28,Minnesota Twins,2016-05-04,Minute Maid Park,"Houston, TX"
29,Seattle Mariners,2016-05-05,Minute Maid Park,"Houston, TX"
30,Seattle Mariners,2016-05-06,Minute Maid Park,"Houston, TX"
31,Seattle Mariners,2016-05-07,Minute Maid Park,"Houston, TX"
32,Seattle Mariners,2016-05-08,Minute Maid Park,"Houston, TX"
33,Cleveland Indians,2016-05-09,Minute Maid Park,"Houston, TX"
34,Cleveland Indians,2016-05-10,Minute Maid Park,"Houston, TX"
35,Cleveland Indians,2016-05-11,Minute Maid Park,"Houston, TX"
36,Boston Red Sox,2016-05-12,Fenway Park,"Boston, MA"
37,Boston Red Sox,2016-05-13,Fenway Park,"Boston, MA"
38,Boston Red Sox,2016-05-14,Fenway Park,"Boston, MA"
39,Boston Red Sox,2016-05-15,Fenway Park,"Boston, MA"
40,Chicago White Sox,2016-05-17,U.S. Cellular Field,"Chicago, IL"
41,Chicago White Sox,2016-05-18,U.S. Cellular Field,"Chicago, IL"
42,Chicago White Sox,2016-05-19,U.S. Cellular Field,"Chicago, IL"
43,Texas Rangers,2016-05-20,Minute Maid Park,"Houston, TX"
44,Texas Rangers,2016-05-21,Minute Maid Park,"Houston, TX"
45,Texas Rangers,2016-05-22,Minute Maid Park,"Houston, TX"
46,Baltimore Orioles,2016-05-24,Minute Maid Park,"Houston, TX"
47,Baltimore Orioles,2016-05-25,Minute Maid Park,"Houston, TX"
48,Baltimore Orioles,2016-05-26,Minute Maid Park,"Houston, TX"
49,Los Angeles Angels,2016-05-27,Angel Stadium of Anaheim,"Anaheim, CA"
50,Los Angeles Angels,2016-05-28,Angel Stadium of Anaheim,"Anaheim, CA"
51,Los Angeles Angels,2016-05-29,Angel Stadium of Anaheim,"Anaheim, CA"
52,Arizona Diamondbacks,2016-05-30,Chase Field,"Phoenix, AZ"
53,Arizona Diamondbacks,2016-05-31,Chase Field,"Phoenix, AZ"
54,Arizona Diamondbacks,2016-06-01,Minute Maid Park,"Houston, TX"
55,Arizona Diamondbacks,2016-06-02,Minute Maid Park,"Houston, TX"
56,Oakland Athletics,2016-06-03,Minute Maid Park,"Houston, TX"
57,Oakland Athletics,2016-06-04,Minute Maid Park,"Houston, TX"
58,Oakland Athletics,2016-06-05,Minute Maid Park,"Houston, TX"
59,Texas Rangers,2016-06-06,Globe Life Park in Arlington,"Arlington, TX"
60,Texas Rangers,2016-06-07,Globe Life Park in Arlington,"Arlington, TX"
61,Texas Rangers,2016-06-08,Globe Life Park in Arlington,"Arlington, TX"
62,Texas Rangers,2016-06-09,Globe Life Park in Arlington,"Arlington, TX"
63,Tampa Bay Rays,2016-06-10,Tropicana Field,"St. Petersburg, FL"
64,Tampa Bay Rays,2016-06-11,Tropicana Field,"St. Petersburg, FL"
65,Tampa Bay Rays,2016-06-12,Tropicana Field,"St. Petersburg, FL"
66,St. Louis Cardinals,2016-06-14,Busch Stadium,"St. Louis, MO"
67,St. Louis Cardinals,2016-06-15,Busch Stadium,"St. Louis, MO"
68,Cincinnati Reds,2016-06-17,Minute Maid Park,"Houston, TX"
69,Cincinnati Reds,2016-06-18,Minute Maid Park,"Houston, TX"
70,Cincinnati Reds,2016-06-19,Minute Maid Park,"Houston, TX"
71,Los Angeles Angels,2016-06-20,Minute Maid Park,"Houston, TX"
72,Los Angeles Angels,2016-06-21,Minute Maid Park,"Houston, TX"
73,Los Angeles Angels,2016-06-22,Minute Maid Park,"Houston, TX"
74,Kansas City Royals,2016-06-24,Kauffman Stadium,"Kansas City, MO"
75,Kansas City Royals,2016-06-25,Kauffman Stadium,"Kansas City, MO"
76,Kansas City Royals,2016-06-26,Kauffman Stadium,"Kansas City, MO"
77,Los Angeles Angels,2016-06-27,Angel Stadium of Anaheim,"Anaheim, CA"
78,Los Angeles Angels,2016-06-28,Angel Stadium of Anaheim,"Anaheim, CA"
79,Los Angeles Angels,2016-06-29,Angel Stadium of Anaheim,"Anaheim, CA"
80,Chicago White Sox,2016-07-01,Minute Maid Park,"Houston, TX"
81,Chicago White Sox,2016-07-02,Minute Maid Park,"Houston, TX"
82,Chicago White Sox,2016-07-03,Minute Maid Park,"Houston, TX"
83,Seattle Mariners,2016-07-04,Minute Maid Park,"Houston, TX"
84,Seattle Mariners,2016-07-05,Minute Maid Park,"Houston, TX"
85,Seattle Mariners,2016-07-06,Minute Maid Park,"Houston, TX"
86,Oakland Athletics,2016-07-07,Minute Maid Park,"Houston, TX"
87,Oakland Athletics,2016-07-08,Minute Maid Park,"Houston, TX"
88,Oakland Athletics,2016-07-09,Minute Maid Park,"Houston, TX"
89,Oakland Athletics,2016-07-10,Minute Maid Park,"Houston, TX"
90,Seattle Mariners,2016-07-15,Safeco Field,"Seattle, WA"
91,Seattle Mariners,2016-07-16,Safeco Field,"Seattle, WA"
92,Seattle Mariners,2016-07-17,Safeco Field,"Seattle, WA"
93,Oakland Athletics,2016-07-18,O.co Coliseum,"Oakland, CA"
94,Oakland Athletics,2016-07-19,O.co Coliseum,"Oakland, CA"
95,Oakland Athletics,2016-07-20,O.co Coliseum,"Oakland, CA"
96,Los Angeles Angels,2016-07-22,Minute Maid Park,"Houston, TX"
97,Los Angeles Angels,2016-07-23,Minute Maid Park,"Houston, TX"
98,Los Angeles Angels,2016-07-24,Minute Maid Park,"Houston, TX"
99,New York Yankees,2016-07-25,Minute Maid Park,"Houston, TX"
100,New York Yankees,2016-07-26,Minute Maid Park,"Houston, TX"
101,New York Yankees,2016-07-27,Minute Maid Park,"Houston, TX"
102,Detroit Tigers,2016-07-29,Comerica Park,"Detroit, MI"
103,Detroit Tigers,2016-07-30,Comerica Park,"Detroit, MI"
104,Detroit Tigers,2016-07-31,Comerica Park,"Detroit, MI"
105,Toronto Blue Jays,2016-08-01,Minute Maid Park,"Houston, TX"
