INDEX,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,"Altuve, J",HOU,,514888,2B,154,638,86,200,40,4,15,66,33,67,38,13,.313,.353,.459,.812,8,9,3,6,293,59,17,198,199,0.99,2227,689
1,2,"Cespedes, Y",NYM,,493316,LF,159,633,101,184,42,6,35,105,33,141,7,5,.291,.328,.542,.870,5,5,0,5,343,83,14,170,157,1.08,2722,676
2,2,"Machado, M",BAL,,592518,3B,162,633,102,181,30,1,35,86,70,111,20,8,.286,.359,.502,.861,2,4,2,4,318,66,17,187,177,1.06,2789,713
3,4,"Calhoun, K",LAA,,594777,RF,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.731,1,5,2,4,266,51,6,165,152,1.09,2557,686
4,5,"Cabrera, M",CWS,,466320,LF,158,629,70,172,36,2,12,77,40,88,3,0,.273,.314,.394,.709,2,2,2,10,248,50,18,214,185,1.16,2572,683
5,6,"Dozier, B",MIN,,572821,2B,157,628,101,148,39,4,28,77,61,148,12,4,.236,.307,.444,.751,2,7,0,8,279,71,10,144,206,0.70,2833,704
6,7,"Cano, R",SEA,,429664,2B,156,624,82,179,34,1,21,79,43,107,2,6,.287,.334,.446,.779,5,3,0,4,278,56,26,240,128,1.88,2445,674
7,7,"Kinsler, I",DET,,435079,2B,154,624,94,185,35,7,11,73,43,80,10,6,.296,.342,.428,.770,0,3,0,5,267,53,13,151,228,0.66,2526,675
8,9,"Seager, K",SEA,,572122,3B,161,623,85,166,37,0,26,74,54,98,6,6,.266,.328,.451,.779,6,5,0,4,281,63,17,161,219,0.74,2537,686
9,10,"Donaldson, J",TOR,,518626,3B,158,620,122,184,41,2,41,123,73,133,6,0,.297,.371,.568,.939,0,6,2,10,352,84,16,184,147,1.25,2817,711
10,11,"Frazier, T",CIN,,453943,3B,157,619,82,158,43,1,35,89,44,137,13,8,.255,.309,.498,.806,3,7,1,7,308,79,19,146,205,0.71,2565,678
11,12,"Arenado, N",COL,,571448,3B,157,616,97,177,43,4,42,130,34,110,2,5,.287,.323,.575,.898,13,4,0,11,354,89,17,153,204,0.75,2322,665
12,13,"Gordon, D",MIA,,543829,2B,145,615,88,205,24,8,4,46,25,91,58,20,.333,.359,.418,.776,2,2,6,5,257,36,6,229,107,2.14,2248,653
13,14,"Blackmon, C",COL,,453568,CF,157,614,93,176,31,9,17,58,46,112,43,13,.287,.347,.450,.797,2,13,5,4,276,57,4,158,181,0.87,2727,682
14,15,"Abreu, J",CWS,,547989,1B,154,613,88,178,34,3,30,101,39,140,0,0,.290,.347,.502,.850,11,15,0,1,308,67,16,182,130,1.40,2526,668
15,15,"Bogaerts, X",BOS,,593428,SS,156,613,84,196,35,3,7,81,32,101,10,2,.320,.355,.421,.776,1,3,3,3,258,45,16,203,135,1.50,2530,654
16,15,"Fielder, P",TEX,,425902,DH,158,613,78,187,28,0,23,98,64,88,0,0,.305,.378,.463,.841,14,11,0,5,284,51,21,207,157,1.32,2483,693
17,18,"Escobar, A",KC,,444876,SS,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.614,1,8,11,5,196,28,10,218,188,1.16,2311,662
