Index,Bio,Team
0,"Frederick Charles Freeman
Born: 9/12/1989 in Fountain Valley, CA
Draft: 2007, Atlanta Braves, 2nd rd. (78th overall)
High School: El Modena, Orange, CA
Debut: 9/1/2010
View More Bio Info +",Atlanta Braves
1,"Derek Sanderson Jeter
Nickname: The Captain
Born: 6/26/1974 in Pequannock, NJ
Draft: 1992, New York Yankees, 1st rd. (6th overall)
High School: Kalamazoo Central, Kalamazoo, MI
Debut: 5/29/1995
Last Game: 9/28/2014
View More Bio Info +",New York Yankees
2,"Jonathan Charles Lucroy
Pronunciation: luke-roy
Nickname: Luc
Born: 6/13/1986 in Eustis, FL
Draft: 2007, Milwaukee Brewers, 3rd rd. (101st overall)
College: Louisiana-Lafayette
Debut: 5/21/2010
Relationship(s): brother of David Lucroy
View More Bio Info +",Colorado Rockies
3,"Chase Cameron Utley
Pronunciation: UHT-lee
Nickname: Silver Fox
Born: 12/17/1978 in Pasadena, CA
Draft: 2000, Philadelphia Phillies, 1st rd. (15th overall)
College: UCLA
Debut: 4/4/2003
View More Bio Info +",Los Angeles Dodgers
4,"Aramis Nin Ramirez
Born: 6/25/1978 in Santo Domingo, Dominican Republic
High School: Aida Cartagena Portlatain, Santo Domingo, DOM
Debut: 9/10/1999
Last Game: 10/3/2015
View More Bio Info +",Pittsburgh Pirates
5,"Michael Nelson Trout
Nickname: Kiiiiid
Born: 8/7/1991 in Vineland, NJ
Draft: 2009, Los Angeles Angels, 1st rd. (25th overall)
High School: Millville, NJ
Debut: 7/8/2011
Relationship(s): son of Jeff Trout
View More Bio Info +",Los Angeles Angels
6,"Derek Russell Norris
Nickname: D-No
Born: 2/14/1989 in Goddard, KS
Draft: 2007, Washington Nationals, 4th rd. (130th overall)
High School: Goddard, KS
Debut: 6/21/2012
View More Bio Info +",Detroit Tigers
7,"Alexei Fernando Ramirez
Pronunciation: Alec-say
Nickname: The Cuban MIssile
Born: 9/22/1981 in Pinar del Rio, Cuba
Debut: 3/31/2008
Last Game: 10/2/2016
View More Bio Info +",Tampa Bay Rays
8,"Jose Miguel Cabrera
Pronunciation: Mee-gel Kah-BREH-rah
Nickname: Miggy
Born: 4/18/1983 in Maracay, Venezuela
Debut: 6/20/2003
View More Bio Info +",Detroit Tigers
9,"Andrew Stefan McCutchen
Nickname: Cutch
Born: 10/10/1986 in Fort Meade, FL
Draft: 2005, Pittsburgh Pirates, 1st rd. (11th overall)
High School: Fort Meade, FL
Debut: 6/4/2009
View More Bio Info +",San Francisco Giants
10,"Troy Trevor Tulowitzki
Nickname: Tulo
Born: 10/10/1984 in Santa Clara, CA
Draft: 2005, Colorado Rockies, 1st rd. (7th overall)
College: Long Beach State
Debut: 8/30/2006
View More Bio Info +",Toronto Blue Jays
11,"José Dariel Abreu
Pronunciation: uh-BRAY-you
Nickname: Mal Tiempo
Born: 1/29/1987 in Cienfuegos, Cuba
Debut: 3/31/2014
View More Bio Info +",Chicago White Sox
12,"José Antonio Bautista
Pronunciation: bah-TEE-sta
Nickname: Joey Bats
Born: 10/19/1980 in Santo Domingo, Dominican Republic
Draft: 2000, Pittsburgh Pirates, 20th rd. (599th overall)
College: Chipola Junior College
Debut: 4/4/2004
Relationship(s): brother of Luis Bautista
View More Bio Info +",Toronto Blue Jays
